espera_promedio,pct_cumple_sla,utilizacion_teorica,utilizacion_simulada,escenario,replica
3.5655357097685396,97.76666666666667,0.29865266142415736,0.2938636050729614,Optimista (enero),1
4.885154022299416,97.43333333333334,0.29865266142415736,0.31317373542488003,Optimista (enero),2
4.542033547758404,97.53333333333333,0.29865266142415736,0.2950144291020715,Optimista (enero),3
6.184417002078449,97.06666666666666,0.29865266142415736,0.3025067645538107,Optimista (enero),4
5.560780085169884,96.73333333333333,0.29865266142415736,0.307247783542596,Optimista (enero),5
3.546185278069637,97.76666666666667,0.29865266142415736,0.29170405383548176,Optimista (enero),6
3.8035398548087107,97.93333333333332,0.29865266142415736,0.2970583403644489,Optimista (enero),7
3.431355376149059,97.8,0.29865266142415736,0.29165092961351485,Optimista (enero),8
3.3694089676629604,98.0,0.29865266142415736,0.30184707035158653,Optimista (enero),9
3.8036376103657217,97.83333333333334,0.29865266142415736,0.3053784414569185,Optimista (enero),10
2.2891381200814127,98.46666666666667,0.29865266142415736,0.2862603310993456,Optimista (enero),11
4.319185311460012,97.53333333333333,0.29865266142415736,0.30053301923828496,Optimista (enero),12
2.6055097635281586,98.43333333333332,0.29865266142415736,0.2970455706961459,Optimista (enero),13
6.050635171725555,96.86666666666667,0.29865266142415736,0.31327885665597244,Optimista (enero),14
5.501135520711976,97.0,0.29865266142415736,0.3081340578159238,Optimista (enero),15
4.267145951232262,97.66666666666667,0.29865266142415736,0.2979064825998567,Optimista (enero),16
4.829144064296612,97.03333333333333,0.29865266142415736,0.29665240185755026,Optimista (enero),17
3.517410173074721,98.2,0.29865266142415736,0.29461423144710513,Optimista (enero),18
2.8828158606526864,98.36666666666667,0.29865266142415736,0.29360023620984144,Optimista (enero),19
2.350934659197348,98.63333333333333,0.29865266142415736,0.2996226228316155,Optimista (enero),20
3.2769898437190155,98.1,0.29865266142415736,0.3057770699300514,Optimista (enero),21
3.5851869805166383,97.93333333333332,0.29865266142415736,0.28024040652893495,Optimista (enero),22
3.897483952403401,97.73333333333333,0.29865266142415736,0.31456968148384007,Optimista (enero),23
3.6791829798750233,97.73333333333333,0.29865266142415736,0.29838665000568493,Optimista (enero),24
2.357588064190021,98.76666666666667,0.29865266142415736,0.30108741801222616,Optimista (enero),25
2.8273891087637857,98.3,0.29865266142415736,0.28774344519438416,Optimista (enero),26
5.542073171952218,97.5,0.29865266142415736,0.3044184678559304,Optimista (enero),27
2.7126496984301345,98.73333333333333,0.29865266142415736,0.291276191945267,Optimista (enero),28
4.512258639462644,97.7,0.29865266142415736,0.3047498194666022,Optimista (enero),29
2.528186088072019,98.66666666666667,0.29865266142415736,0.29029630993208755,Optimista (enero),30
14.652701515965964,93.223485727547,0.41408796697764094,0.41143803775531756,Normal (promedio anual),1
16.98050898119098,92.8985843583198,0.41408796697764094,0.43292260873836746,Normal (promedio anual),2
14.030359303309318,92.62009747041077,0.41408796697764094,0.4170132398212848,Normal (promedio anual),3
12.998313100331254,93.73404502204687,0.41408796697764094,0.40664458773800793,Normal (promedio anual),4
12.297332647707131,94.54629844511487,0.41408796697764094,0.4029324251373779,Normal (promedio anual),5
11.520674667374102,93.91970294731956,0.41408796697764094,0.4063935236665667,Normal (promedio anual),6
15.786639635603208,92.411232304479,0.41408796697764094,0.42447585420163464,Normal (promedio anual),7
11.48077782925802,93.91970294731956,0.41408796697764094,0.4039518901897592,Normal (promedio anual),8
10.566344471157258,94.26781155720585,0.41408796697764094,0.41917237892267034,Normal (promedio anual),9
10.61499222596577,94.68554188906938,0.41408796697764094,0.40627834385446754,Normal (promedio anual),10
13.409482922782475,93.45555813413785,0.41408796697764094,0.4139687089306831,Normal (promedio anual),11
11.301478388629246,94.08215363193317,0.41408796697764094,0.41768190710355685,Normal (promedio anual),12
9.114748343453783,94.89440705500117,0.41408796697764094,0.4097136910570564,Normal (promedio anual),13
13.699238142667493,92.71292643304712,0.41408796697764094,0.4199936773005123,Normal (promedio anual),14
12.904978445766861,93.15386400556974,0.41408796697764094,0.4227281612218223,Normal (promedio anual),15
11.786564545108297,94.26781155720585,0.41408796697764094,0.40959145090973487,Normal (promedio anual),16
11.507855781900735,93.91970294731956,0.41408796697764094,0.41116755837308777,Normal (promedio anual),17
12.617683529010696,93.75725226270596,0.41408796697764094,0.40659634648758985,Normal (promedio anual),18
10.685900735797405,94.12856811325133,0.41408796697764094,0.40954325383739065,Normal (promedio anual),19
11.05334067913093,94.10536087259224,0.41408796697764094,0.4165251415654096,Normal (promedio anual),20
10.010508528309598,94.75516361104664,0.41408796697764094,0.40992911136812515,Normal (promedio anual),21
19.318900750073258,92.85216987700163,0.41408796697764094,0.40877934586197207,Normal (promedio anual),22
14.417578773920113,93.31631469018333,0.41408796697764094,0.42862704751341973,Normal (promedio anual),23
11.472114975399048,94.035739150615,0.41408796697764094,0.4075006259129247,Normal (promedio anual),24
12.110679766590925,93.94291018797864,0.41408796697764094,0.41303847239708535,Normal (promedio anual),25
12.46371734167695,93.96611742863773,0.41408796697764094,0.4050874073829332,Normal (promedio anual),26
12.611850416835528,94.59271292643304,0.41408796697764094,0.4021383043440152,Normal (promedio anual),27
9.808488768257678,94.87119981434208,0.41408796697764094,0.40928194786130156,Normal (promedio anual),28
12.549839725022867,93.24669296820608,0.41408796697764094,0.41358134633040333,Normal (promedio anual),29
12.219258287386914,94.5230912044558,0.41408796697764094,0.4068974111026673,Normal (promedio anual),30
47.2598460241313,80.6369019043047,0.5670894152782435,0.5671973798877472,Pesimista (diciembre),1
46.24551319382251,81.05296847495599,0.5670894152782435,0.5822627024538242,Pesimista (diciembre),2
39.87398996009814,83.03728596575452,0.5670894152782435,0.5635396212032666,Pesimista (diciembre),3
52.496836420335846,81.86909905584893,0.5670894152782435,0.5635882039742869,Pesimista (diciembre),4
44.80425415568577,83.91742678828612,0.5670894152782435,0.5630879738924606,Pesimista (diciembre),5
35.734392525489824,84.68554968795007,0.5670894152782435,0.5457739404803849,Pesimista (diciembre),6
46.321068520461566,81.08497359577532,0.5670894152782435,0.5710390635467656,Pesimista (diciembre),7
38.58438438347988,83.7413986237798,0.5670894152782435,0.5552366471272783,Pesimista (diciembre),8
39.649417322283405,83.34133461353817,0.5670894152782435,0.5614263728240433,Pesimista (diciembre),9
42.352174887172595,82.14114258281326,0.5670894152782435,0.5610419463876983,Pesimista (diciembre),10
41.72514796833315,82.92526804288686,0.5670894152782435,0.5772530782385794,Pesimista (diciembre),11
40.84585422763067,83.11729876780285,0.5670894152782435,0.5639420909920485,Pesimista (diciembre),12
56.31086424135568,79.45271243398943,0.5670894152782435,0.5846043781188599,Pesimista (diciembre),13
36.909343261602075,83.13330132821251,0.5670894152782435,0.5538067407000584,Pesimista (diciembre),14
41.7508623005584,82.12514002240358,0.5670894152782435,0.5725472495598023,Pesimista (diciembre),15
39.39726994339334,83.02128340534486,0.5670894152782435,0.5636323249705346,Pesimista (diciembre),16
41.410429231598044,82.28516562650024,0.5670894152782435,0.5613905714977777,Pesimista (diciembre),17
32.37473472456893,84.98959833573372,0.5670894152782435,0.5495751731526748,Pesimista (diciembre),18
37.59813694627353,81.93310929748759,0.5670894152782435,0.5677769735091334,Pesimista (diciembre),19
39.2044903905985,83.24531925108018,0.5670894152782435,0.5623553558957918,Pesimista (diciembre),20
35.137172807450284,85.61369819171067,0.5670894152782435,0.5455584292265001,Pesimista (diciembre),21
47.22476905864632,81.48503760601696,0.5670894152782435,0.5692172681744473,Pesimista (diciembre),22
46.76976810771788,81.5170427268363,0.5670894152782435,0.571924451382224,Pesimista (diciembre),23
40.39807295928853,83.21331413026084,0.5670894152782435,0.5587576006932189,Pesimista (diciembre),24
45.23368025987326,82.8612578012482,0.5670894152782435,0.5612937233468812,Pesimista (diciembre),25
47.410216106275286,80.98895823331733,0.5670894152782435,0.5651387874740404,Pesimista (diciembre),26
36.28706154130257,84.41350616098576,0.5670894152782435,0.5457726379668796,Pesimista (diciembre),27
44.672184931825996,82.4931989118259,0.5670894152782435,0.5718614938303129,Pesimista (diciembre),28
30.76148416563665,86.12578012481997,0.5670894152782435,0.5429843940040666,Pesimista (diciembre),29
36.85649697380877,84.0614498319731,0.5670894152782435,0.5712209426076572,Pesimista (diciembre),30
